,,,(1+sqrt(5))/2,(1-sqrt(5))/2,,O(1.6180339887499^n),,,,O(1.6180339887499^n),
,,fib n,1.618033989,-0.6180339887,,t_n,,,,r_n,
n,fib_n,( ( (1+sqrt(5))/2 )^n - ( (1-sqrt(5))/2 )^n ) /sqrt(5),( ( (1+sqrt(5))/2 )^n ) /sqrt(5),-( ( (1-sqrt(5))/2 )^n ) /sqrt(5),t_n,( (2+ (3/sqrt(5)) ) * ((1+sqrt(5))/2)^n ) + ( (2- (3/sqrt(5)) )  * ((1-sqrt(5))/2)^n ) -3,( (2+ (3/sqrt(5)) ) * ((1+sqrt(5))/2)^n ) ,( (2- (3/sqrt(5)) )  * ((1-sqrt(5))/2)^n ) ,r_n,( (1+ (1/sqrt(5)) ) * ((1+sqrt(5))/2)^n ) + ( (1- (1/sqrt(5)) )  * ((1-sqrt(5))/2)^n ) -1,2^n
0,0,0,0.4472135955,-0.4472135955,1,1,3.341640786,0.6583592135,1,1,1
1,1,1,0.7236067977,0.2763932023,2,2,5.406888371,-0.4068883707,1,1,2
2,1,1,1.170820393,-0.1708203932,6,6,8.748529157,0.2514708428,3,3,4
3,2,2,1.894427191,0.105572809,11,11,14.15541753,-0.155417528,5,5,8
4,3,3,3.065247584,-0.06524758425,20,20,22.90394669,0.09605331475,9,9,16
5,5,5,4.959674775,0.04032522475,34,34,37.05936421,-0.05936421325,15,15,32
6,8,8,8.024922359,-0.0249223595,57,57,59.9633109,0.0366891015,25,25,64
7,13,13,12.98459713,0.01540286525,94,94,97.02267511,-0.02267511175,41,41,128
8,21,21,21.00951949,-0.009519494249,154,154,156.985986,0.01401398976,67,67,256
9,34,34,33.99411663,0.005883371002,251,251,254.0086611,-0.008661121988,109,109,512
10,55,55,55.00363612,-0.003636123247,408,408,410.9946471,0.005352867769,177,177,1024
11,89,89,88.99775275,0.002247247754,662,662,665.0033083,-0.003308254219,287,287,2048
12,144,144,144.0013889,-0.001388875493,1073,1073,1075.997955,0.002044613551,465,465,4096
13,233,233,232.9991416,0.000858372261,1738,1738,1741.001264,-0.001263640668,753,753,8192
14,377,377,377.0005305,-0.0005305032323,2814,2814,2816.999219,0.0007809728825,1219,1219,16384
15,610,610,609.9996721,0.0003278690287,4555,4555,4558.000483,-0.0004826677857,1973,1973,32768
16,987,987,987.0002026,-0.0002026342036,7372,7372,7374.999702,0.0002983050968,3193,3193,65536
17,1597,1597,1596.999875,0.0001252348251,11930,11930,11933.00018,-0.0001843626888,5167,5167,131072
18,2584,2584,2584.000077,-0.00007739937849,19305,19305,19307.99989,0.000113942408,8361,8361,262144
19,4181,4181,4180.999952,0.00004783544661,31238,31238,31241.00007,-0.00007042028088,13529,13529,524288
20,6765,6765,6765.00003,-0.00002956393187,50546,50546,50548.99996,0.00004352212708,21891,21891,1048576
21,10946,10946,10945.99998,0.00001827151474,81787,81787,81790.00003,-0.0000268981538,35421,35421,2097152
22,17711,17711,17711.00001,-0.00001129241713,132336,132336,132339,0.00001662397328,57313,57313,4194304
23,28657,28657,28656.99999,0.000006979097604,214126,214126,214129,-0.00001027418052,92735,92735,8388608
24,46368,46368,46368,-0.00000431331953,346465,346465,346468,0.000006349792766,150049,150049,16777216
25,75025,75025,75025,0.000002665778074,560594,560594,560597,-0.000003924387751,242785,242785,33554432
